timestamp,src_ip,pkt_count,byte_count,pkts_per_sec,bytes_per_sec,unique_dst_ips,unique_dst_ports,avg_pkt_size,std_ias,syn_count,syn_ratio,arp_req,arp_rep,mac_changes
1763682971.6825209,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0009255650194711027,2,0.5,0,0,2
1763682971.7119312,10.0.1.10,9,812,0.9,81.2,2,2,90.22222222222223,0.01861469110831204,0,0.0,0,0,6
1763682972.7520175,10.0.1.10,4,140,0.4,14.0,1,1,35.0,0.275331656196437,0,0.0,0,0,0
1763682972.7634716,10.0.1.11,2,74,0.2,7.4,1,1,37.0,0,1,1.0,0,0,1
1763682972.7867053,10.0.1.12,1,0,0.1,0.0,0,0,0.0,0,0,0,0,0,0
1763682973.809925,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682973.8178663,10.0.1.10,6,420,0.6,42.0,2,2,70.0,0.11653950555551112,0,0.0,0,0,2
1763682973.8451502,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682974.8709211,10.0.2.10,6,420,0.6,42.0,1,1,70.0,0.1158583031837659,2,0.5,0,0,4
1763682974.8803308,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0016342513924979861,2,0.5,0,0,2
1763682974.9086304,10.0.1.10,13,766,1.3,76.6,3,3,58.92307692307692,0.10870246845308375,0,0.0,0,0,7
1763682974.9339685,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682975.95682,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0019351733930080346,2,0.5,0,0,2
1763682975.963621,10.0.1.10,2,148,0.2,14.8,1,1,74.0,0,0,0.0,0,0,2
1763682976.990185,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682976.9985027,10.0.1.10,11,878,1.1,87.8,3,3,79.81818181818181,0.13380135358825831,0,0.0,0,0,2
1763682977.0269113,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682977.0511787,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682978.0751555,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0010725091586892299,2,0.5,0,0,2
1763682978.0884483,10.0.1.1,1,42,0.1,4.2,0,0,42.0,0,0,0,0,1,0
1763682978.1161845,10.0.1.10,3,214,0.3,21.4,1,1,71.33333333333333,0.003290534019470215,0,0.0,0,0,3
1763682978.1402266,10.0.1.11,1,42,0.1,4.2,0,0,42.0,0,0,0,1,0,0
1763682979.1779008,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0019693287110820515,2,0.5,0,0,2
1763682979.182647,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682979.208163,10.0.1.10,7,502,0.7,50.2,3,3,71.71428571428571,0.25666726651469135,0,0.0,0,0,4
1763682979.2301748,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682981.2546897,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.002474327870564534,2,0.5,0,0,2
1763682981.2701044,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0012875936335163074,2,0.5,0,0,2
1763682981.2960777,10.0.1.10,7,502,0.7,50.2,3,3,71.71428571428571,0.15377027403040958,0,0.0,0,0,4
1763682981.32282,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682982.3503265,10.0.2.10,4,148,0.4,14.8,1,1,37.0,0.1685279342728497,2,1.0,0,0,4
1763682982.3643694,10.0.1.10,4,288,0.4,28.8,2,2,72.0,0.1535742103401625,0,0.0,0,0,2
1763682982.3919916,10.0.1.11,3,74,0.3,7.4,1,1,24.666666666666668,0.007391095161437988,1,1.0,0,0,1
1763682983.41502,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682983.430111,10.0.1.10,9,626,0.9,62.6,3,3,69.55555555555556,0.12264714908024056,0,0.0,0,0,4
1763682983.460175,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,1
1763682983.4815333,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682984.5062997,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0018027261967106635,2,0.5,0,0,2
1763682984.5125225,10.0.1.10,2,148,0.2,14.8,1,1,74.0,0,0,0.0,0,0,1
1763682985.541116,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.002473756515362707,2,0.5,0,0,2
1763682985.5623949,10.0.1.10,2,148,0.2,14.8,1,1,74.0,0,0,0.0,0,0,2
1763682986.6037977,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682986.6098068,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682986.6399984,10.0.1.10,8,568,0.8,56.8,3,3,71.0,0.13469523546375503,0,0.0,0,0,4
1763682986.6615298,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682987.6887486,10.0.1.10,2,140,0.2,14.0,1,1,70.0,0,0,0.0,0,0,1
1763682987.6929817,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682988.726394,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682988.7347436,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0017259633717744425,2,0.5,0,0,2
1763682988.7656775,10.0.1.10,5,362,0.5,36.2,2,2,72.4,0.24003540622968053,0,0.0,0,0,3
1763682989.7902865,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
